Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testy,Chrome 74.0.3729.157,,2019-05-15 13:24:58,2019-05-15 13:25:05,6.870s,FAILED
,,,,,,
Test Cases/Ignite Test,Chrome 74.0.3729.157,,2019-05-15 13:24:58,2019-05-15 13:25:02,3.743s,PASSED
"openBrowser(""dev-aim.clearlink.com"")",Chrome 74.0.3729.157,,2019-05-15 13:24:58,2019-05-15 13:25:02,3.445s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 74.0.3729.157,,2019-05-15 13:25:02,2019-05-15 13:25:04,2.771s,FAILED
"openBrowser(""www.ksl.com"")",Chrome 74.0.3729.157,,2019-05-15 13:25:02,2019-05-15 13:25:04,2.589s,PASSED
clickImage(findTestObject(null)),Chrome 74.0.3729.157,,2019-05-15 13:25:04,2019-05-15 13:25:04,0.054s,FAILED
