Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testy,Chrome 74.0.3729.157,,2019-05-15 13:25:35,2019-05-15 13:25:44,9.157s,FAILED
,,,,,,
Test Cases/Ignite Test,Chrome 74.0.3729.157,,2019-05-15 13:25:35,2019-05-15 13:25:38,2.895s,PASSED
"openBrowser(""dev-aim.clearlink.com"")",Chrome 74.0.3729.157,,2019-05-15 13:25:35,2019-05-15 13:25:38,2.661s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 74.0.3729.157,,2019-05-15 13:25:38,2019-05-15 13:25:44,5.957s,FAILED
"openBrowser(""www.ksl.com"")",Chrome 74.0.3729.157,,2019-05-15 13:25:38,2019-05-15 13:25:44,5.456s,PASSED
clickImage(findTestObject(null)),Chrome 74.0.3729.157,,2019-05-15 13:25:44,2019-05-15 13:25:44,0.410s,FAILED
