Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testy,Chrome 74.0.3729.157,,2019-05-15 13:34:23,2019-05-15 13:34:38,14.875s,FAILED
,,,,,,
Test Cases/Ignite Test,Chrome 74.0.3729.157,,2019-05-15 13:34:23,2019-05-15 13:34:28,4.414s,PASSED
"openBrowser(""dev-aim.clearlink.com"")",Chrome 74.0.3729.157,,2019-05-15 13:34:23,2019-05-15 13:34:28,4.192s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 74.0.3729.157,,2019-05-15 13:34:28,2019-05-15 13:34:38,10.139s,FAILED
"openBrowser(""www.ksl.com"")",Chrome 74.0.3729.157,,2019-05-15 13:34:28,2019-05-15 13:34:37,9.420s,PASSED
clickImage(findTestObject(null)),Chrome 74.0.3729.157,,2019-05-15 13:34:37,2019-05-15 13:34:38,0.615s,FAILED
