Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testy,Chrome 74.0.3729.157,,2019-05-14 16:07:28,2019-05-14 16:07:38,9.809s,FAILED
,,,,,,
Test Cases/Ignite Test,Chrome 74.0.3729.157,,2019-05-14 16:07:28,2019-05-14 16:07:32,3.664s,PASSED
"openBrowser(""dev-aim.clearlink.com"")",Chrome 74.0.3729.157,,2019-05-14 16:07:28,2019-05-14 16:07:32,3.385s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 74.0.3729.157,,2019-05-14 16:07:32,2019-05-14 16:07:38,5.778s,FAILED
"openBrowser(""www.ksl.com"")",Chrome 74.0.3729.157,,2019-05-14 16:07:32,2019-05-14 16:07:37,5.246s,PASSED
clickImage(findTestObject(null)),Chrome 74.0.3729.157,,2019-05-14 16:07:37,2019-05-14 16:07:38,0.428s,FAILED
