Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testy,Chrome 74.0.3729.157,,2019-05-15 11:18:25,2019-05-15 11:18:37,12.014s,FAILED
,,,,,,
Test Cases/Ignite Test,Chrome 74.0.3729.157,,2019-05-15 11:18:25,2019-05-15 11:18:28,3.163s,PASSED
"openBrowser(""dev-aim.clearlink.com"")",Chrome 74.0.3729.157,,2019-05-15 11:18:25,2019-05-15 11:18:28,2.923s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 74.0.3729.157,,2019-05-15 11:18:28,2019-05-15 11:18:37,8.528s,FAILED
"openBrowser(""www.ksl.com"")",Chrome 74.0.3729.157,,2019-05-15 11:18:28,2019-05-15 11:18:36,8.000s,PASSED
clickImage(findTestObject(null)),Chrome 74.0.3729.157,,2019-05-15 11:18:36,2019-05-15 11:18:37,0.431s,FAILED
