Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testy,Chrome 74.0.3729.157,,2019-05-14 16:55:09,2019-05-14 16:55:20,10.537s,FAILED
,,,,,,
Test Cases/Ignite Test,Chrome 74.0.3729.157,,2019-05-14 16:55:09,2019-05-14 16:55:13,3.396s,PASSED
"openBrowser(""dev-aim.clearlink.com"")",Chrome 74.0.3729.157,,2019-05-14 16:55:09,2019-05-14 16:55:13,3.163s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 74.0.3729.157,,2019-05-14 16:55:13,2019-05-14 16:55:19,6.835s,FAILED
"openBrowser(""www.ksl.com"")",Chrome 74.0.3729.157,,2019-05-14 16:55:13,2019-05-14 16:55:18,5.619s,PASSED
clickImage(findTestObject(null)),Chrome 74.0.3729.157,,2019-05-14 16:55:18,2019-05-14 16:55:19,1.119s,FAILED
