Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testy,Chrome 74.0.3729.157,,2019-05-14 16:45:02,2019-05-14 16:45:20,17.263s,FAILED
,,,,,,
Test Cases/Ignite Test,Chrome 74.0.3729.157,,2019-05-14 16:45:02,2019-05-14 16:45:08,5.118s,PASSED
"openBrowser(""dev-aim.clearlink.com"")",Chrome 74.0.3729.157,,2019-05-14 16:45:03,2019-05-14 16:45:08,4.898s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 74.0.3729.157,,2019-05-14 16:45:08,2019-05-14 16:45:19,11.841s,FAILED
"openBrowser(""www.ksl.com"")",Chrome 74.0.3729.157,,2019-05-14 16:45:08,2019-05-14 16:45:19,11.337s,PASSED
clickImage(findTestObject(null)),Chrome 74.0.3729.157,,2019-05-14 16:45:19,2019-05-14 16:45:19,0.403s,FAILED
