Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testy,Chrome 74.0.3729.157,,2019-05-15 11:28:04,2019-05-15 11:28:12,8.169s,FAILED
,,,,,,
Test Cases/Ignite Test,Chrome 74.0.3729.157,,2019-05-15 11:28:04,2019-05-15 11:28:07,2.906s,PASSED
"openBrowser(""dev-aim.clearlink.com"")",Chrome 74.0.3729.157,,2019-05-15 11:28:04,2019-05-15 11:28:07,2.648s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 74.0.3729.157,,2019-05-15 11:28:07,2019-05-15 11:28:12,4.963s,FAILED
"openBrowser(""www.ksl.com"")",Chrome 74.0.3729.157,,2019-05-15 11:28:07,2019-05-15 11:28:11,3.915s,PASSED
clickImage(findTestObject(null)),Chrome 74.0.3729.157,,2019-05-15 11:28:11,2019-05-15 11:28:12,0.953s,FAILED
